prodcode,strength,substancestrength,routeofadministration,bnfheader,formulation,bnfchapter,drugsubstance,productname,route,class
67874,10mg,,,Other Antidepressant Drugs,tablet,other antidepressant drugs,vortioxetine hydrobromide,brintellix 10mg tablets (lundbeck ltd),oral,6
69991,20mg,,,,tablet,other antidepressant drugs,vortioxetine hydrobromide,brintellix 20mg tablets (lundbeck ltd),oral,6
69992,5mg,,,,tablet,other antidepressant drugs,vortioxetine hydrobromide,brintellix 5mg tablets (lundbeck ltd),oral,6
65483,10mg,,,Other Antidepressant Drugs,tablet,other antidepressant drugs,vortioxetine hydrobromide,vortioxetine 10mg tablets,oral,6
66890,20mg,,,Other Antidepressant Drugs,tablet,other antidepressant drugs,vortioxetine hydrobromide,vortioxetine 20mg tablets,oral,6
65482,5mg,,,Other Antidepressant Drugs,tablet,other antidepressant drugs,vortioxetine hydrobromide,vortioxetine 5mg tablets,oral,6
52516,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,alventa xl 150mg capsules (consilient health ltd),oral,2
52074,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,alventa xl 75mg capsules (consilient health ltd),oral,2
71806,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,amphero xl 75mg capsules (mylan),oral,2
61236,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,bonilux xl 150mg capsules (sandoz ltd),oral,2
45664,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,depefex xl 150mg capsules (chiesi ltd),oral,2
45959,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,depefex xl 75mg capsules (chiesi ltd),oral,2
65738,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,efexor 37.5mg tablets (sigma pharmaceuticals plc),oral,2
