prodcode,productname,bnfhead,substance
27353,caffeine /codeine phos./doxylamine succi 30 mg tab,unknown,
8150,caffeine hydrate /cyclizine hyd /ergotam tab,unknown,
8045,chlorpromazine 200 mg tab,unknown,
13479,chlorpromazine 25 mg sup,unknown,
247,chlorpromazine 50 mg inj,unknown,
17221,chlorpromazine hcl 10 mg inj,unknown,
12544,chlorpromazine hcl 100 mg mix,unknown,
30346,chlorpromazine hcl 100 mg tab,unknown,
12137,chlorpromazine hcl 25 mg tab,unknown,
19033,chlorpromazine hcl 50 mg inj,unknown,
10446,chlorpromazine hcl 50 mg tab,unknown,
31747,chlorpromazine hydrochloride,unknown,
2937,cinnarizine 10 mg tab,unknown,
9202,codeine phos/ephedrine hyd/promethazine lin,unknown,
15475,cyclizine 100 mg sup,unknown,
12135,cyclizine 50 mg sup,unknown,
30907,dimenhydrinate 100 mg sup,unknown,
25631,dimenhydrinate 50 mg inj,unknown,
20714,dimenhydrinate paed 50 mg sup,unknown,
16604,domperidone 5 mg inj,unknown,
1759,metoclopramide 5 mg tab,unknown,
3323,metoclopramide hcl 10 mg tab,unknown,
20806,metoclopramide sr,unknown,
22622,morphine tartrate/cyclizine tartrate 15 mg inj,unknown,
19738,"morphine,cocaine & chlorpromazine mix",unknown,
20061,perphenazine 8 mg tab,unknown,
237,prochlorperazine 5 mg eli,unknown,
3024,prochlorperazine maleate 3 mg tab,unknown,
14373,promethazine 50 mg inj,unknown,
3490,amitriptyline 10mg / perphenazine 2mg tablets,unknown,amitriptyline hydrochloride/perphenazine
595,amitriptyline 25mg / perphenazine 2mg tablets,tricyclic and related antidepressants,amitriptyline hydrochloride/perphenazine
16323,perphenazine 2mg with amitriptyline 10mg tablet,antipsychotic products/tricyclic and related antidepressants,amitriptyline hydrochloride/perphenazine
6894,perphenazine 2mg with amitriptyline 25mg tablet,antipsychotic products/tricyclic and related antidepressants,amitriptyline hydrochloride/perphenazine
1453,triptafen m 2mg+10mg tablet (goldshield pharmaceuticals ltd),antipsychotic products/tricyclic and related antidepressants,amitriptyline hydrochloride/perphenazine
1208,triptafen tablets (advanz pharma),tricyclic and related antidepressants,amitriptyline hydrochloride/perphenazine
38827,triptafen-m tablets (mercury pharma group ltd),unknown,amitriptyline hydrochloride/perphenazine
12976,aspirin 900mg / metoclopramide 10mg oral powder sachets sugar free,non-opioid and compound analgesics,aspirin dl-lysine/metoclopramide hydrochloride
5288,migramax oral powder sachets (zentiva),non-opioid and compound analgesics,aspirin dl-lysine/metoclopramide hydrochloride
13319,nethaprin dospan tablet (marion merrell dow ltd),compound bronchodilator products,bufylline/etafedrine/doxylamine succinate/phenylephrine hydrochloride
37348,"codeine phosphate with paracetamol, doxylamine and caffeine 10mg with 450mg with 5mg with 30mg tablets",sedating antihistamines/non-opioid and compound analgesics,caffeine/codeine phosphate/doxylamine succinate/paracetamol
20256,paracetamol 450mg with codeine phosphate 10mg with doxylamine 5mg & caffeine 30mg tablet,sedating antihistamines/non-opioid and compound analgesics,caffeine/codeine phosphate/doxylamine succinate/paracetamol
19854,propain plus tablet (ceuta healthcare ltd),sedating antihistamines/non-opioid and compound analgesics,caffeine/codeine phosphate/doxylamine succinate/paracetamol
