GROUP,ATC code  ,Name  ,DDD , U ,Adm.R, Note
N03AA Barbiturates and derivatives,,,,,,
N03AA Barbiturates and derivatives,N03AA01 ,methylphenobarbital ,0.5 ,g ,O ,
N03AA Barbiturates and derivatives,N03AA02 ,phenobarbital ,0.1 ,g ,O ,
,,,0.1 ,g ,P ,
N03AA Barbiturates and derivatives,N03AA03 ,primidone ,1.25 ,g ,O ,
N03AA Barbiturates and derivatives,N03AA04 ,barbexaclone ,,,,
N03AA Barbiturates and derivatives,N03AA30 ,metharbital ,0.2 ,g ,O ,
N03AB Hydantoin derivatives,N03AB01 ,ethotoin ,2.5 ,g ,O ,
N03AB Hydantoin derivatives,N03AB02 ,phenytoin ,0.3 ,g ,O ,
,,,0.3 ,g ,P ,
N03AB Hydantoin derivatives,N03AB03 ,amino(diphenylhydantoin) valeric acid ,0.3 ,g ,O ,
N03AB Hydantoin derivatives,N03AB04 ,mephenytoin ,0.4 ,g ,O ,
N03AB Hydantoin derivatives,N03AB05 ,fosphenytoin ,0.45 ,g ,P ,
N03AB Hydantoin derivatives,N03AB52 ,"phenytoin, combinations ",,,,
N03AB Hydantoin derivatives,N03AB54 ,"mephenytoin, combinations ",,,,
N03AC Oxazolidine derivatives,N03AC01 ,paramethadione ,0.9 ,g ,O ,
N03AC Oxazolidine derivatives,N03AC02 ,trimethadione ,1.5 ,g ,O ,
N03AC Oxazolidine derivatives,N03AC03 ,ethadione ,,,,
N03AG Fatty acid derivatives,N03AG01 ,valproic acid ,1.5 ,g ,O ,
,,,1.5 ,g ,P ,
,,,1.5 ,g ,R ,
N03AG Fatty acid derivatives,N03AG02 ,valpromide ,1.5 ,g ,O ,
N03AG Fatty acid derivatives,N03AG03 ,aminobutyric acid ,1 ,g ,O ,
,,,1 ,g ,P ,
N03AG Fatty acid derivatives,N03AG04 ,vigabatrin ,2 ,g ,O ,
N03AG Fatty acid derivatives,N03AG05 ,progabide ,,,,
N03AG Fatty acid derivatives,N03AG06 ,tiagabine ,30 ,mg ,O ,
N03AX Other antiepileptics,N03AX03 ,sultiame ,0.4 ,g ,O ,
N03AX Other antiepileptics,N03AX07 ,phenacemide ,1.5 ,g ,O ,
N03AX Other antiepileptics,N03AX09 ,lamotrigine ,0.3 ,g ,O ,
N03AX Other antiepileptics,N03AX10 ,felbamate ,2.4 ,g ,O ,
N03AX Other antiepileptics,N03AX11 ,topiramate ,0.3 ,g ,O ,
N03AX Other antiepileptics,N03AX12 ,gabapentin ,1.8 ,g ,O ,
N03AX Other antiepileptics,N03AX13 ,pheneturide ,,,,
N03AX Other antiepileptics,N03AX14 ,levetiracetam ,1.5 ,g ,O ,
,,,1.5 ,g ,P ,
N03AX Other antiepileptics,N03AX15 ,zonisamide ,0.2 ,g ,O ,
N03AX Other antiepileptics,N03AX16 ,pregabalin ,0.3 ,g ,O ,
N03AX Other antiepileptics,N03AX17 ,stiripentol ,1 ,g ,O ,
N03AX Other antiepileptics,N03AX18 ,lacosamide ,0.3 ,g ,O ,
,,,0.3 ,g ,P ,
N03AX Other antiepileptics,N03AX19 ,carisbamate ,,,,
N03AX Other antiepileptics,N03AX21 ,retigabine ,0.9 ,g ,O ,
N03AX Other antiepileptics,N03AX22 ,perampanel ,8 ,mg ,O ,
N03AX Other antiepileptics,N03AX23 ,brivaracetam ,0.1 ,g ,O ,
,,,0.1 ,g ,P ,
N03AX Other antiepileptics,N03AX24 ,cannabidiol ,,,,
N03AX Other antiepileptics,N03AX30 ,beclamide ,,,,
