medcode,readcode,readterm,ethreadcode,eth16,eth5
12351,9i0..00,british or mixed british - ethnic category 2001 census,1,1. British,0. White
110432,9t20.00,white: scottish - scotland ethnic category 2011 census,1,1. British,0. White
12436,9i21.00,scottish - ethnic category 2001 census,1,1. British,0. White
42294,9i24.00,northern irish - ethnic category 2001 census,1,1. British,0. White
110694,9t21.00,white: other british - scotland ethnic category 2011 census,1,1. British,0. White
110420,9t00.00,white:eng/welsh/scot/ni/brit - england and wales 2011 census,1,1. British,0. White
12191,134B.00,race: caucasian,,1. British,0. White
22467,9S1..00,white,1,1. British,0. White
12446,9S10.00,white british,1,1. British,0. White
28887,9i23.00,cornish - ethnic category 2001 census,1,1. British,0. White
26467,9S13.00,white scottish,1,1. British,0. White
98111,9i00.00,white british - ethnic category 2001 census,1,1. British,0. White
112899,9t10.00,white - northern ireland ethnic category 2011 census,1,1. British,0. White
26310,9S14.00,other white british ethnic group,1,1. British,0. White
12352,9i20.00,english - ethnic category 2001 census,1,1. British,0. White
12681,9i22.00,welsh - ethnic category 2001 census,1,1. British,0. White
40102,9i25.00,ulster scots - ethnic category 2001 census,1,1. British,0. White
98213,9i10.00,white irish - ethnic category 2001 census,1,2. Irish,0. White
110556,9t01.00,white: irish - england and wales ethnic category 2011 census,1,2. Irish,0. White
12532,9i1..00,irish - ethnic category 2001 census,1,2. Irish,0. White
110687,9t22.00,white: irish - scotland ethnic category 2011 census,1,2. Irish,0. White
24837,9S11.00,white irish,1,2. Irish,0. White
24270,9SA9.00,irish (nmo),1,2. Irish,0. White
12746,9i29.00,turkish - ethnic category 2001 census,1,3. Other White,0. White
12433,9i2G.00,baltic estonian/latvian/lithuanian - ethn categ 2001 census,1,3. Other White,0. White
32126,9SAB.11,turkish (nmo),1,3. Other White,0. White
110407,9t03.00,white: other white backgrd- eng+wales ethnic cat 2011 census,1,3. Other White,0. White
12421,9i2..00,other white background - ethnic category 2001 census,1,3. Other White,0. White
110695,9t25.00,white: other white ethnic grp- scotland ethnic cat 2011 cens,1,3. Other White,0. White
28936,9i2P.00,other republics former yugoslavia - ethnic categ 2001 census,1,3. Other White,0. White
28900,9i2S.00,other mixed white - ethnic category 2001 census,1,3. Other White,0. White
12412,9i2B.00,italian - ethnic category 2001 census,1,3. Other White,0. White
42290,9i2E.00,gypsy/romany - ethnic category 2001 census,1,3. Other White,0. White
12633,9SAC.00,other european (nmo),1,3. Other White,0. White
55113,9i2D.00,traveller - ethnic category 2001 census,1,3. Other White,0. White
12444,9S12.00,other white ethnic group,1,3. Other White,0. White
111386,9t02.00,white: gypsy/irish traveller - eng+wales eth cat 2011 census,1,3. Other White,0. White
113253,9t23.00,white: gypsy/irish traveller - scotland ethnic cat 2011 cens,1,3. Other White,0. White
47601,9SI..00,irish traveller,1,3. Other White,0. White
45955,9SAA.11,greek (nmo),1,3. Other White,0. White
26341,9i2J.00,kosovan - ethnic category 2001 census,1,3. Other White,0. White
32066,9SAB.00,turkish/turkish cypriot (nmo),1,3. Other White,0. White
32778,9i26.00,cypriot (part not stated) - ethnic category 2001 census,1,3. Other White,0. White
25422,9i2K.00,albanian - ethnic category 2001 census,1,3. Other White,0. White
28973,9i2H.00,commonwealth (russian) indep states - ethn categ 2001 census,1,3. Other White,0. White
46956,9i2L.00,bosnian - ethnic category 2001 census,1,3. Other White,0. White
45947,9SAA.00,greek/greek cypriot (nmo),1,3. Other White,0. White
110465,9t24.00,white: polish - scotland ethnic category 2011 census,1,3. Other White,0. White
55223,9i2C.00,irish traveller - ethnic category 2001 census,1,3. Other White,0. White
32069,9SAB.12,turkish cypriot (nmo),1,3. Other White,0. White
12467,9i2F.00,polish - ethnic category 2001 census,1,3. Other White,0. White
26391,9i2Q.00,mixed irish and other white - ethnic category 2001 census,1,3. Other White,0. White
12355,9i27.00,greek - ethnic category 2001 census,1,3. Other White,0. White
47949,9SAA.12,greek cypriot (nmo),1,3. Other White,0. White
47074,9i2N.00,serbian - ethnic category 2001 census,1,3. Other White,0. White
12769,9i28.00,greek cypriot - ethnic category 2001 census,1,3. Other White,0. White
12591,9i2T.00,other white or white unspecified ethnic category 2001 census,1,3. Other White,0. White
32413,9i2A.00,turkish cypriot - ethnic category 2001 census,1,3. Other White,0. White
28866,9i2M.00,croatian - ethnic category 2001 census,1,3. Other White,0. White
12402,9i2R.00,oth white european/european unsp/mixed european 2001 census,1,3. Other White,0. White
110661,9t12.00,mixed: white and black caribbean - ni ethnic cat 2011 census,1,4. White and Black Caribbean,4. Mixed
32425,9SB5.00,black caribbean and white,1,4. White and Black Caribbean,4. Mixed
110445,9t04.00,mixed: white+black caribbean - eng+wales eth cat 2011 census,1,4. White and Black Caribbean,4. Mixed
12742,9i3..00,white and black caribbean - ethnic category 2001 census,1,4. White and Black Caribbean,4. Mixed
12437,9i4..00,white and black african - ethnic category 2001 census,1,5. White and Black African,4. Mixed
110421,9t05.00,mixed: white+black african - eng+wales eth cat 2011 census,1,5. White and Black African,4. Mixed
45167,134L.00,race: afro-caucasian,,5. White and Black African,4. Mixed
32443,9SB6.00,black african and white,1,5. White and Black African,4. Mixed
110651,9t13.00,mixed: white and black african - ni ethnic cat 2011 census,1,5. White and Black African,4. Mixed
110471,9t14.00,mixed: white and asian - ni ethnic category 2011 census,1,6. White and Asian,4. Mixed
12638,9i5..00,white and asian - ethnic category 2001 census,1,6. White and Asian,4. Mixed
32401,9SB2.00,"other ethnic, asian/white orig",1,6. White and Asian,4. Mixed
110652,9t06.00,mixed: white+asian - eng+wales ethnic category 2011 census,1,6. White and Asian,4. Mixed
12706,9i63.00,chinese and white - ethnic category 2001 census,1,7. Other Mixed,4. Mixed
12696,9SB..00,"other ethnic, mixed origin",1,7. Other Mixed,4. Mixed
12873,9i6..00,other mixed background - ethnic category 2001 census,1,7. Other Mixed,4. Mixed
35459,9SB3.00,"other ethnic, mixed white orig",1,7. Other Mixed,4. Mixed
110536,9t15.00,mixed: other mixed/multiple ethnic backgrd - ni 2011 census,1,7. Other Mixed,4. Mixed
40110,9i62.00,black and white - ethnic category 2001 census,1,7. Other Mixed,4. Mixed
32420,9SB4.00,"other ethnic, other mixed orig",1,7. Other Mixed,4. Mixed
25623,9S51.00,other black - black/white orig,1,7. Other Mixed,4. Mixed
110696,9t26.00,mixed/multiple ethnic grps: any- scot ethnic cat 2011 census,1,7. Other Mixed,4. Mixed
47005,9i64.00,asian and chinese - ethnic category 2001 census,1,7. Other Mixed,4. Mixed
32165,9S52.00,other black - black/asian orig,1,7. Other Mixed,4. Mixed
32408,9i65.00,other mixed or mixed unspecified ethnic category 2001 census,1,7. Other Mixed,4. Mixed
47401,9SB1.00,"other ethnic, black/white orig",1,7. Other Mixed,4. Mixed
12795,9i60.00,black and asian - ethnic category 2001 census,1,7. Other Mixed,4. Mixed
110654,9t07.00,mixed: other mixed/multiple backgrd - eng+wales 2011 census,1,7. Other Mixed,4. Mixed
49940,9i61.00,black and chinese - ethnic category 2001 census,1,7. Other Mixed,4. Mixed
12482,9S6..00,indian,1,8. Indian,1. South Asian
45144,1347.00,indian origin,,8. Indian,1. South Asian
25920,9T1D.00,indian,,8. Indian,1. South Asian
110477,9t08.00,asian/asian brit: indian - eng+wales ethnic cat 2011 census,1,8. Indian,1. South Asian
12414,9i7..00,indian or british indian - ethnic category 2001 census,1,8. Indian,1. South Asian
111368,9t28.00,"asian: indian, indian scot/indian brit- scotland 2011 census",1,8. Indian,1. South Asian
110422,9t16.00,asian or asian british: indian - ni ethnic cat 2011 census,1,8. Indian,1. South Asian
110460,9t27.00,asian: pakistani/pakistani scot/pakistani brit- scot 2011,1,9. Pakistani,1. South Asian
110464,9t09.00,asian/asian british:pakistani- eng+wales eth cat 2011 census,1,9. Pakistani,1. South Asian
12460,9i8..00,pakistani or british pakistani - ethnic category 2001 census,1,9. Pakistani,1. South Asian
110538,9t17.00,asian/asian british: pakistani - ni ethnic cat 2011 census,1,9. Pakistani,1. South Asian
24690,9S7..00,pakistani,1,9. Pakistani,1. South Asian
26062,134M.00,race: pakistani,,9. Pakistani,1. South Asian
26348,134I.00,race: bangladeshi,,10. Bangladeshi,1. South Asian
28888,9i9..00,bangladeshi or british bangladeshi - ethn categ 2001 census,1,10. Bangladeshi,1. South Asian
110590,9t0A.00,asian/asian brit: bangladeshi- eng+wales eth cat 2011 census,1,10. Bangladeshi,1. South Asian
24740,9S8..00,bangladeshi,1,10. Bangladeshi,1. South Asian
112225,9t29.00,"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011",1,10. Bangladeshi,1. South Asian
110720,9t18.00,asian/asian british: bangladeshi - ni ethnic cat 2011 census,1,10. Bangladeshi,1. South Asian
