medcode,readcode,readterm
1458,Eu90.00,[X]Hyperkinetic disorders
3775,E2E..00,Childhood hyperkinetic syndrome
5565,E2E0.00,Child attention deficit disorder
6510,Eu90y00,[X]Other hyperkinetic disorders
6512,Eu90000,[X]Disturbance of activity and attention
6519,Eu90011,[X]Attention deficit hyperactivity disorder
9715,E2E0100,Attention deficit with hyperactivity
9972,E2E..11,Overactive child syndrome
10918,1P00.00,Hyperactive behaviour
20467,E2E0z00,Child attention deficit disorder NOS
24753,ZS91.12,[X]Attention deficit disorder
24808,ZS91.11,ADD - Attention deficit disorder
25469,E2Ey.00,Other hyperkinetic manifestation
26285,Eu9y700,[X]Attention deficit disorder
28543,ZS91.00,Attention deficit disorder
33505,Eu90100,[X]Hyperkinetic conduct disorder
34199,E2E0000,Attention deficit without hyperactivity
35161,ZS93.11,DAMP - Deficits in attention motor control and perception
37894,ZS94.00,Minimal brain dysfunction
37994,ZS9..00,Disorders of attention and motor control
39920,ZS93.00,Deficits in attention motor control and perception
41769,E2Ez.00,Hyperkinetic syndrome NOS
45263,E2E2.00,Hyperkinetic conduct disorder
45799,Eu90111,[X]Hyperkinetic disorder associated with conduct disorder
50015,Eu90z00,"[X]Hyperkinetic disorder, unspecified"
52602,Eu84400,[X]Overactive disorder assoc mental retard/stereotype movts
55322,Eu90200,"[X]Deficits in attention, motor control and perception"
58069,E2E1.00,Hyperkinesis with developmental delay
61701,ZS94.11,MBD - Minimal brain dysfunction
96770,Eu90z12,[X]Hyperkinetic syndrome NOS
97421,Eu90z11,[X]Hyperkinetic reaction of childhood or adolescence NOS
99831,9Ol8.00,ADHD monitoring invitation first letter
101067,6A61.00,Attention deficit hyperactivity disorder annual review
103937,9OlA.00,ADHD monitoring invitation third letter
106362,9Ol9.00,ADHD monitoring invitation second letter
107332,9Ngp.00,On drug ther ADHD (attention deficit hyperactivity disorder)
108002,8BPT.00,Drug therapy ADHD (attention deficit hyperactivity disorder)
109779,8BPT100,Non-stimulant drug therapy for ADHD
110264,8BPT000,Stimulant drug therapy for ADHD
111733,9Ngp000,On stim drug ther ADHD (attention def hyperactivity disordr)
112627,ZV40500,[V]Disorder of attention
115197,9Ngp100,On non-stimulant drug therapy for ADHD
