medcode,readcode,readterm
1276,E140.12,Autism
2950,Eu84500,[X]Asperger's syndrome
3637,Eu84000,[X]Childhood autism
7226,Eu84.00,[X]Pervasive developmental disorders
7302,E140.13,Childhood autism
9982,Eu84011,[X]Autistic disorder
22098,E140.00,Infantile autism
24044,Eu84100,[X]Atypical autism
36662,E140z00,Infantile autism NOS
42941,Eu84z11,[X]Autistic spectrum disorder
44327,Eu84z00,"[X]Pervasive developmental disorder, unspecified"
47948,Eu84y00,[X]Other pervasive developmental disorders
50337,Eu84012,[X]Infantile autism
63251,E140000,Active infantile autism
69016,E140100,Residual infantile autism
