medcode,readterm,smokstatus
33,Never smoked tobacco,non-smoker
54,Tobacco consumption,current smoker
60,Current non-smoker,non-smoker
90,Ex smoker,ex-smoker
93,Cigarette smoker,current smoker
776,Stopped smoking,ex-smoker
1822,Very heavy smoker - 40+cigs/d,current smoker
1823,Smoker,current smoker
1878,Moderate smoker - 10-19 cigs/d,current smoker
2111,Health ed. - smoking,current smoker
3568,Heavy smoker - 20-39 cigs/day,current smoker
6359,Nicotine withdrawal,current or ex-smoker
7130,Stop smoking monitoring admin.,current or ex-smoker
7622,Smoking cessation advice,current or ex-smoker
9045,Advice on smoking,current smoker
9833,Nicotine replacement therapy,current or ex-smoker
10184,Pregnancy smoking advice,current smoker
10211,Smoking cessation milestones,ex-smoker
10558,Current smoker,current smoker
10742,Referral to stop-smoking clinic,current or ex-smoker
10898,Smoking free weeks,ex-smoker
11356,Seen by smoking cessation advisor,current or ex-smoker
11527,DNA - Did not attend smoking cessation clinic,current smoker
11713,Pack years,current or ex-smoker
11788,Non-smoker,non-smoker
12240,Trying to give up smoking,current or ex-smoker
12878,Date ceased smoking,ex-smoker
12941,Occasional smoker,current smoker
12942,Smoker - amount smoked,current smoker
12943,Cigar smoker,current smoker
12944,Light smoker - 1-9 cigs/day,current smoker
12945,Rolls own cigarettes,current smoker
12946,Ex-smoker - amount unknown,ex-smoker
12947,Pipe smoker,current smoker
12951,Smoking restarted,current smoker
12952,Smoking started,current smoker
12953,Attends stop smoking monitor.,current or ex-smoker
12954,[V]Tobacco use,current smoker
12955,Ex-moderate smoker (10-19/day),ex-smoker
12956,Ex-heavy smoker (20-39/day),ex-smoker
12957,Ex-light smoker (1-9/day),ex-smoker
12958,Trivial smoker - < 1 cig/day,current smoker
12959,Ex-very heavy smoker (40+/day),ex-smoker
12960,Tobacco consumption NOS,current smoker
12961,Ex-trivial smoker (<1/day),ex-smoker
12962,Tobacco consumption unknown,current smoker
12963,Cigar consumption,current smoker
12964,Keeps trying to stop smoking,current smoker
12965,Cigarette consumption,current smoker
12966,Smoking reduced,current smoker
12967,Pipe tobacco consumption,current smoker
13351,Passive smoker,non-smoker
16717,Smokers' cough,current smoker
18573,Referral to smoking cessation advisor,current or ex-smoker
18926,Lifestyle advice regarding smoking,current smoker
19485,Stop smoking monitor.chck done,current or ex-smoker
19488,Ex cigar smoker,ex-smoker
21637,Stop smoking monitor admin.NOS,current or ex-smoker
24529,Nicotine replacement therapy refused,current smoker
25106,Nicotine replacement therapy provided free,current or ex-smoker
26096,Smokes drugs,current or ex-smoker
26470,Ex pipe smoker,ex-smoker
28834,Anti-smoking monitoring admin.,current or ex-smoker
30423,Thinking about stopping smoking,current smoker
30762,Not interested in stopping smoking,current smoker
31114,Ready to stop smoking,current smoker
32083,Stop smoking clinic admin.,current or ex-smoker
32572,Over the counter nicotine replacement therapy,current or ex-smoker
32687,Tobacco dependence,current smoker
34126,Negotiated date for cessation of smoking,current smoker
35055,[V]Tobacco abuse counselling,current smoker
