icd10,description,minormalformation,subgroup
Q79.2,Exomphalos,,Abdominal Wall
Q79.3,Gastroschisis,,Abdominal Wall
Q79.5,Other congenital malformations of abdominal wall,,Abdominal Wall
Q25.0,Patent ductus arteriosus,If gest. age <37 weeks,Heart
Q25.6,Stenosis of pulmonary artery,If gest. age <37 weeks,Heart
Q26.1,Persistent left superior vena cava,Yes,Heart
Q20,Congenital malformations of cardiac chambers and connections,,Heart
Q20.0,Common arterial trunk,,Heart
Q20.1,Double outlet right ventricle,,Heart
Q20.2,Double outlet left ventricle,,Heart
Q20.3,Discordant ventriculoarterial connection,,Heart
Q20.4,Double inlet ventricle,,Heart
Q20.5,Discordant atrioventricular connection,,Heart
Q20.6,Isomerism of atrial appendages,,Heart
Q20.8,Other cong malforms of cardiac chambers and connections,,Heart
Q20.9,Cong malforms of cardiac chambers and connections unspec,,Heart
Q21,Congenital malformations of cardiac septa,,Heart
Q21.0,Ventricular septal defect,,Heart
Q21.1,Atrial septal defect,,Heart
Q21.2,Atrioventricular septal defect,,Heart
Q21.3,Tetralogy of Fallot,,Heart
Q21.4,Aortopulmonary septal defect,,Heart
Q21.8,Other congenital malformations of cardiac septa,,Heart
Q21.9,"""Congenital malformation of cardiac septum, unspecified""",,Heart
Q22,Congenital malformations of pulmonary and tricuspid valves,,Heart
Q22.0,Pulmonary valve atresia,,Heart
Q22.1,Congenital pulmonary valve stenosis,,Heart
Q22.2,Congenital pulmonary valve insufficiency,,Heart
Q22.3,Other congenital malformations of pulmonary valve,,Heart
Q22.4,Congenital tricuspid stenosis,,Heart
Q22.5,Ebstein's anomaly,,Heart
Q22.6,Hypoplastic right heart syndrome,,Heart
Q22.8,Other congenital malformations of tricuspid valve,,Heart
Q22.9,"""Congenital malformation of tricuspid valve, unspecified""",,Heart
Q23,Congenital malformations of aortic and mitral valves,,Heart
Q23.0,Congenital stenosis of aortic valve,,Heart
Q23.1,Congenital insufficiency of aortic valve,,Heart
Q23.2,Congenital mitral stenosis,,Heart
Q23.3,Congenital mitral insufficiency,,Heart
Q23.4,Hypoplastic left heart syndrome,,Heart
Q23.8,Other congenital malformations of aortic and mitral valves,,Heart
Q23.9,Congenital malformation of aortic and mitral valves unspec,,Heart
Q24,Other congenital malformations of heart,,Heart
Q24.0,Dextrocardia,,Heart
Q24.1,Laevocardia,,Heart
Q24.2,Cor triatriatum,,Heart
Q24.3,Pulmonary infundibular stenosis,,Heart
Q24.4,Congenital subaortic stenosis,,Heart
Q24.5,Malformation of coronary vessels,,Heart
Q24.6,Congenital heart block,,Heart
Q24.8,Other specified congenital malformations of heart,,Heart
Q24.9,"""Congenital malformation of heart, unspecified""",,Heart
Q25,Congenital malformations of great arteries,,Heart
Q25.1,Coarctation of aorta,,Heart
Q25.2,Atresia of aorta,,Heart
Q25.3,Stenosis of aorta,,Heart
Q25.4,Other congenital malformations of aorta,,Heart
Q25.5,Atresia of pulmonary artery,,Heart
Q25.7,Other congenital malformations of pulmonary artery,,Heart
Q25.8,Other congenital malformations of great arteries,,Heart
Q25.9,"""Congenital malformation of great arteries, unspecified""",,Heart
Q26,Congenital malformations of great veins,,Heart
Q26.0,Congenital stenosis of vena cava,,Heart
Q26.2,Total anomalous pulmonary venous connection,,Heart
Q26.3,Partial anomalous pulmonary venous connection,,Heart
Q26.4,"""Anomalous pulmonary venous connection, unspecified""",,Heart
Q26.5,Anomalous portal venous connection,,Heart
Q26.6,Portal vein-hepatic artery fistula,,Heart
Q26.8,Other congenital malformations of great veins,,Heart
Q26.9,"""Congenital malformation of great vein, unspecified""",,Heart
Q38.1,Ankyloglossia,Yes,Digestive
Q38.2,Macroglossia,Yes,Digestive
Q40.0,Congenital hypertrophic pyloric stenosis,Yes,Digestive
Q40.1,Congenital hiatus hernia,Yes,Digestive
Q43.0,Meckel's diverticulum,Yes,Digestive
Q44.4,Choledochal cyst,,Digestive
Q38,"""Other congenital malformations of tongue, mouth and pharynx""",,Digestive
Q38.0,"""Congenital malformations of lips, not elsewhere classified""",,Digestive
Q38.3,Other congenital malformations of tongue,,Digestive
Q38.4,Congenital malformations of salivary glands and ducts,,Digestive
Q38.5,"""Congenital malformations of palate, not elsewhere classified""",,Digestive
Q38.6,Other congenital malformations of mouth,,Digestive
Q38.7,Pharyngeal pouch,,Digestive
Q38.8,Other congenital malformations of pharynx,,Digestive
Q39,Congenital malformations of oesophagus,,Digestive
Q39.0,Atresia of oesophagus without fistula,,Digestive
Q39.1,Atresia of oesophagus with tracheo-oesophageal fistula,,Digestive
Q39.2,Congenital tracheo-oesophageal fistula without atresia,,Digestive
Q39.3,Congenital stenosis and stricture of oesophagus,,Digestive
Q39.4,Oesophageal web,,Digestive
Q39.5,Congenital dilatation of oesophagus,,Digestive
Q39.6,Diverticulum of oesophagus,,Digestive
Q39.8,Other congenital malformations of oesophagus,,Digestive
Q39.9,"""Congenital malformation of oesophagus, unspecified""",,Digestive
Q40,Other congenital malformations of upper alimentary tract,,Digestive
Q40.2,Other specified congenital malformations of stomach,,Digestive
Q40.3,"""Congenital malformation of stomach, unspecified""",,Digestive
Q40.8,Other spec congenital malforms of upper alimentary tract,,Digestive
Q40.9,Congenital malformation of upper alimentary tract,,Digestive
Q41,"""Congenital absence, atresia and stenosis of small intestine""",,Digestive
Q41.0,"""Congenital absence, atresia and stenosis of duodenum""",,Digestive
Q41.1,"""Congenital absence, atresia and stenosis of jejunum""",,Digestive
Q41.2,"""Congenital absence, atresia and stenosis of ileum""",,Digestive
Q41.8,Congen absence atresia stenosis oth spec parts small intest,,Digestive
Q41.9,Cong absce atresia and stenosis small intestine part unspec,,Digestive
Q42,"""Congenital absence, atresia and stenosis of large intestine""",,Digestive
Q42.0,Cong absence atresia and stenosis of rectum with fistula,,Digestive
Q42.1,Cong absence atresia and stenosis rectum without fistula,,Digestive
Q42.2,Cong absence atresia and stenosis anus with fistula,,Digestive
Q42.3,Cong absence atresia and stenosis anus without fistula,,Digestive
Q42.8,Congen absence atresia and sten oth parts of large intest,,Digestive
Q42.9,Cong absce atresia and sten of large intest part unspec,,Digestive
Q43,Other congenital malformations of intestine,,Digestive
Q43.1,Hirschsprung's disease,,Digestive
Q43.2,Other congenital functional disorders of colon,,Digestive
Q43.3,Congenital malformations of intestinal fixation,,Digestive
Q43.4,Duplication of intestine,,Digestive
Q43.5,Ectopic anus,,Digestive
Q43.6,Congenital fistula of rectum and anus,,Digestive
Q43.7,Persistent cloaca,,Digestive
Q43.8,Other specified congenital malformations of intestine,,Digestive
Q43.9,"""Congenital malformation of intestine, unspecified""",,Digestive
Q44,"""Congenital malformations of gallbladder, bile ducts & liver""",,Digestive
Q44.0,"""Agenesis, aplasia and hypoplasia of gallbladder""",,Digestive
Q44.1,Other congenital malformations of gallbladder,,Digestive
Q44.2,Atresia of bile ducts,,Digestive
Q44.3,Congenital stenosis and stricture of bile ducts,,Digestive
Q44.5,Other congenital malformations of bile ducts,,Digestive
Q44.6,Cystic disease of liver,,Digestive
Q44.7,Other congenital malformations of liver,,Digestive
