opcs,OPCS4title,description,category
R159,OTHER INDUCTION OF LABOUR,UNSPECIFIED,Delivery-related procedure
R223,VACUUM DELIVERY,VACUUM DELIVERY BEFORE FULL DILATION OF CERVIX,Delivery-related procedure
R141,SURGICAL INDUCTION OF LABOUR,FOREWATER RUPTURE OF AMNIOTIC MEMBRANE,Delivery-related procedure
R289,INSTRUMENTAL REMOVAL/PRODUCTS/CONCEPTION FROM DEL.UTERU,UNSPECIFIED,Delivery-related procedure
R288,INSTRUMENTAL REMOVAL/PRODUCTS/CONCEPTION FROM DEL.UTERU,OTHER SPECIFIED,Delivery-related procedure
R198,BREECH EXTRACTION DELIVERY,OTHER SPECIFIED,Delivery-related procedure
R181,OTHER CAESAREAN DELIVERY,UPPER UTERINE SEGMENT CAESAREAN DELIVERY NEC,Delivery-related procedure
R231,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF,MANIPULATIVE CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENT,Delivery-related procedure
R151,OTHER INDUCTION OF LABOUR,MEDICAL INDUCTION OF LABOUR,Delivery-related procedure
R188,OTHER CAESAREAN DELIVERY,OTHER SPECIFIED,Delivery-related procedure
R172,ELECTIVE CAESAREAN DELIVERY,ELECTIVE LOWER UTERINE SEGMENT CAESAREAN DELIVERY,Delivery-related procedure
R271,OTHER OPERATIONS TO FACILITATE DELIVERY,EPISIOTOMY TO FACILITATE DELIVERY,Delivery-related procedure
R209,OTHER BREECH DELIVERY,UNSPECIFIED,Delivery-related procedure
R279,OTHER OPERATIONS TO FACILITATE DELIVERY,UNSPECIFIED,Delivery-related procedure
R298,MANUAL REMOVAL/PRODUCTS/CONCEPTION FROM DELIVERED UTERU,OTHER SPECIFIED,Delivery-related procedure
R258,OTHER METHODS OF DELIVERY,OTHER SPECIFIED,Delivery-related procedure
R208,OTHER BREECH DELIVERY,OTHER SPECIFIED,Delivery-related procedure
R214,FORCEPS CEPHALIC DELIVERY,MID FORCEPS CEPHALIC DELIVERY NEC,Delivery-related procedure
R222,VACUUM DELIVERY,LOW VACUUM DELIVERY,Delivery-related procedure
R219,FORCEPS CEPHALIC DELIVERY,UNSPECIFIED,Delivery-related procedure
R249,NORMAL DELIVERY,ALL,Delivery-related procedure
R238,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF,OTHER SPECIFIED,Delivery-related procedure
R303,OTHER OPERATIONS ON DELIVERED UTERUS,INSTRUMENTAL EXPLORATION OF DELIVERED UTERUS NEC,Delivery-related procedure
P143,INCISION OF INTROITUS OF VAGINA,ANTERIOR EPISIOTOMY,Delivery-related procedure
R291,MANUAL REMOVAL/PRODUCTS/CONCEPTION FROM DELIVERED UTERU,MANUAL REMOVAL OF PLACENTA FROM DELIVERED UTERUS,Delivery-related procedure
R202,OTHER BREECH DELIVERY,ASSISTED BREECH DELIVERY,Delivery-related procedure
R149,SURGICAL INDUCTION OF LABOUR,UNSPECIFIED,Delivery-related procedure
R199,BREECH EXTRACTION DELIVERY,UNSPECIFIED,Delivery-related procedure
R178,ELECTIVE CAESAREAN DELIVERY,OTHER SPECIFIED,Delivery-related procedure
R239,CEPHALIC VAGINAL DELIVERY WITH ABNORMAL PRESENTATION OF,UNSPECIFIED,Delivery-related procedure
R171,ELECTIVE CAESAREAN DELIVERY,ELECTIVE UPPER UTERINE SEGMENT CAESAREAN DELIVERY,Delivery-related procedure
R201,OTHER BREECH DELIVERY,SPONTANEOUS BREECH DELIVERY,Delivery-related procedure
R229,VACUUM DELIVERY,UNSPECIFIED,Delivery-related procedure
R308,OTHER OPERATIONS ON DELIVERED UTERUS,OTHER SPECIFIED,Delivery-related procedure
R251,OTHER METHODS OF DELIVERY,CAESAREAN HYSTERECTOMY,Delivery-related procedure
R182,OTHER CAESAREAN DELIVERY,LOWER UTERINE SEGMENT CAESAREAN DELIVERY NEC,Delivery-related procedure
R211,FORCEPS CEPHALIC DELIVERY,HIGH FORCEPS CEPHALIC DELIVERY WITH ROTATION,Delivery-related procedure
R221,VACUUM DELIVERY,HIGH VACUUM DELIVERY,Delivery-related procedure
