opcs4code,generaldescription,minormalformation,subgroup
T281,Other repair of anterior abdominal wall,,Abdominal Wall
K196,Creation of other cardiac conduit,,Heart
L021,Open correction of patent ductus arteriosus,,Heart
L022,Open correction of patent ductus arteriosus,,Heart
L023,Open correction of patent ductus arteriosus,,Heart
L024,Open correction of patent ductus arteriosus,,Heart
L028,Open correction of patent ductus arteriosus,,Heart
L029,Open correction of patent ductus arteriosus,,Heart
L031,Transluminal operations on abnormality of great vessel,,Heart
K041,Repair of tetralogy of fallot,,Heart
K042,Repair of tetralogy of fallot,,Heart
K043,Repair of tetralogy of fallot,,Heart
K044,Repair of tetralogy of fallot,,Heart
K045,Repair of tetralogy of fallot,,Heart
K046,Repair of tetralogy of fallot,,Heart
K048,Repair of tetralogy of fallot,,Heart
K049,Repair of tetralogy of fallot,,Heart
K051,Atrial inversion operations/transposition/great arterie,,Heart
K052,Atrial inversion operations/transposition/great arterie,,Heart
K058,Atrial inversion operations/transposition/great arterie,,Heart
K059,Atrial inversion operations/transposition/great arterie,,Heart
K061,Other repair of transposition of great arteries,,Heart
K062,Other repair of transposition of great arteries,,Heart
K063,Other repair of transposition of great arteries,,Heart
K064,Other repair of transposition of great arteries,,Heart
K068,Other repair of transposition of great arteries,,Heart
K069,Other repair of transposition of great arteries,,Heart
K071,Correction/total anomalous pulmonary venous connection,,Heart
K072,Correction/total anomalous pulmonary venous connection,,Heart
K073,Correction/total anomalous pulmonary venous connection,,Heart
K078,Correction/total anomalous pulmonary venous connection,,Heart
K079,Correction/total anomalous pulmonary venous connection,,Heart
K081,Repair of double outlet ventricle,,Heart
K082,Repair of double outlet ventricle,,Heart
K083,Repair of double outlet ventricle,,Heart
K084,Repair of double outlet ventricle,,Heart
K088,Repair of double outlet ventricle,,Heart
K089,Repair of double outlet ventricle,,Heart
K091,Repair of defect of atrioventricular septum,,Heart
K092,Repair of defect of atrioventricular septum,,Heart
K093,Repair of defect of atrioventricular septum,,Heart
K094,Repair of defect of atrioventricular septum,,Heart
K095,Repair of defect of atrioventricular septum,,Heart
K096,Repair of defect of atrioventricular septum,,Heart
K098,Repair of defect of atrioventricular septum,,Heart
K099,Repair of defect of atrioventricular septum,,Heart
K101,Repair of defect of interatrial septum,,Heart
K102,Repair of defect of interatrial septum,,Heart
K103,Repair of defect of interatrial septum,,Heart
K104,Repair of defect of interatrial septum,,Heart
K105,Repair of defect of interatrial septum,,Heart
K108,Repair of defect of interatrial septum,,Heart
K109,Repair of defect of interatrial septum,,Heart
K111,Repair of defect of interventricular septum,,Heart
K112,Repair of defect of interventricular septum,,Heart
K113,Repair of defect of interventricular septum,,Heart
K114,Repair of defect of interventricular septum,,Heart
K115,Repair of defect of interventricular septum,,Heart
K116,Repair of defect of interventricular septum,,Heart
K117,Repair of defect of interventricular septum,,Heart
K118,Repair of defect of interventricular septum,,Heart
K119,Repair of defect of interventricular septum,,Heart
K121,Repair of defect of unspecified septum of heart,,Heart
K122,Repair of defect of unspecified septum of heart,,Heart
K123,Repair of defect of unspecified septum of heart,,Heart
K124,Repair of defect of unspecified septum of heart,,Heart
K125,Repair of defect of unspecified septum of heart,,Heart
K128,Repair of defect of unspecified septum of heart,,Heart
K129,Repair of defect of unspecified septum of heart,,Heart
K131,Transluminal repair of defect of septum,,Heart
K132,Transluminal repair of defect of septum,,Heart
K133,Transluminal repair of defect of septum,,Heart
K134,Transluminal repair of defect of septum,,Heart
K135,Transluminal repair of defect of septum,,Heart
K138,Transluminal repair of defect of septum,,Heart
K139,Transluminal repair of defect of septum,,Heart
K141,Other open operations on septum of heart,,Heart
K142,Other open operations on septum of heart,,Heart
K143,Other open operations on septum of heart,,Heart
K144,Other open operations on septum of heart,,Heart
K145,Other open operations on septum of heart,,Heart
K148,Other open operations on septum of heart,,Heart
K149,Other open operations on septum of heart,,Heart
K151,Closed operations on septum of heart,,Heart
K152,Closed operations on septum of heart,,Heart
K158,Closed operations on septum of heart,,Heart
K159,Closed operations on septum of heart,,Heart
K161,Other therapeutic transluminal operations on septum of,,Heart
K162,Other therapeutic transluminal operations on septum of,,Heart
K163,Other therapeutic transluminal operations on septum of,,Heart
K164,Other therapeutic transluminal operations on septum of,,Heart
K165,Other therapeutic transluminal operations on septum of,,Heart
K166,Other therapeutic transluminal operations on septum of,,Heart
K168,Other therapeutic transluminal operations on septum of,,Heart
K169,Other therapeutic transluminal operations on septum of,,Heart
K171,Repair of univentricular heart,,Heart
K172,Repair of univentricular heart,,Heart
K173,Repair of univentricular heart,,Heart
K174,Repair of univentricular heart,,Heart
K175,Repair of univentricular heart,,Heart
K176,Repair of univentricular heart,,Heart
K177,Repair of univentricular heart,,Heart
K178,Repair of univentricular heart,,Heart
K179,Repair of univentricular heart,,Heart
K181,Creation of valved cardiac conduit,,Heart
K182,Creation of valved cardiac conduit,,Heart
