medcode,readcode,readterm,minormalformation,subgroup
99786,14av.00,history of ventricular septal defect,,Heart
102408,14h..00,never had mammogram,,Other
20838,14h..00,h/o: congenital anomaly,,Other
18820,14h1.00,h/o: cardiac anomaly,,Heart
17175,14h1.11,h/o: heart anomaly,,Heart
21043,14h2.00,h/o: cleft palate,,Orofacial Clefts
17207,14h3.00,h/o: cleft lip,,Orofacial Clefts
16812,14h4.00,h/o: urinary anomaly,,Urinary
4804,14h5.00,h/o: cong. dislocation - hip,,Limb
30344,14hz.00,h/o: congenital anomaly nos,,Other
104307,2126800,ostium secundum atrial septal defect resolved,,Heart
104345,24m..00,spontaneous closure of ventricular septal defect,,Heart
19532,2bb4.00,o/e - retinal microaneurysms,,Eye
45743,33b8.00,detection of cardiac shunt,,Heart
7588,66g..00,allergic disorder monitoring,,Heart
72576,66g..00,congenital heart condition monitoring,,Heart
98265,7010111,insertion of halber valve for spina bifida,,Nervous System
29739,7031000,repair of meningoencephalocele,,Nervous System
5307,7043100,closure of spinal myelomeningocele,,Nervous System
29633,7043200,closure of spinal meningocele,,Nervous System
50672,7043y00,other specified repair of spina bifida,,Nervous System
62742,7043z00,repair of spina bifida nos,,Nervous System
86022,7131900,excision of accessory breast tissue,,Other
7797,7136800,excision of accessory nipple,Yes,Other
46751,7204a00,correction of hypertelorism with orbital osteotomies,Yes,Other
108261,7204b00,corr hypertelorism c orbital osteotomies+facial bipartition,Yes,Other
95400,7204c00,corr hypertelorism c orbital osteotomies+nasal reconstruct,Yes,Other
43356,7204d00,correction of hypotelorism with orbital osteotomies,Yes,Other
40989,7255411,insertion molteno implantation tube in anterior chamber eye,,Eye
39050,7258600,excision of pupillary membrane,,Eye
65079,7259000,needling of bleb following glaucoma surgery,,Eye
89934,7259100,injection of bleb following glaucoma surgery,,Eye
88595,7259200,revision of bleb nec following glaucoma surgery,,Eye
91442,7259300,removal of releasable suture following glaucoma surgery,,Eye
93967,7259400,laser suture lysis following glaucoma surgery,,Eye
88142,7259y00,other specified operations following glaucoma surgery,,Eye
95852,7259z00,operations following glaucoma surgery nos,,Eye
4832,7300200,excision of preauricular abnormality,Yes,"""Ear, Face & Neck"""
8252,7302200,pinnaplasty,Yes,"""Ear, Face & Neck"""
6453,7302211,bat ear pinnaplasty,Yes,"""Ear, Face & Neck"""
1176,7302212,correction of prominent ear,Yes,"""Ear, Face & Neck"""
52654,7302213,mustarde pinnaplasty,Yes,"""Ear, Face & Neck"""
25476,7302214,revision pinnaplasty,Yes,"""Ear, Face & Neck"""
36354,7306100,reconstruction of external auditory canal,,"""Ear, Face & Neck"""
53456,7306111,pattee reconstruction of external auditory canal,,"""Ear, Face & Neck"""
108732,7308000,insertion of fixtures for auricular prosthesis stage 1,,"""Ear, Face & Neck"""
108733,7308100,insertion of fixtures for auricular prosthesis stage 2,,"""Ear, Face & Neck"""
94199,7308300,attention to fixtures for auricular prosthesis,,"""Ear, Face & Neck"""
39741,7406200,correction of congenital atresia of choana,,Respiratory
21363,7409000,primary correction of cleft lip nasal deformity,,Orofacial Clefts
28600,7409011,primary correction of alar cartilage,,Orofacial Clefts
70876,7409013,pigott alar leap-frog correction,,Orofacial Clefts
49350,7409100,secondary correction of cleft lip nasal deformity,,Orofacial Clefts
48195,7409111,secondary correction of alar slump,,Orofacial Clefts
105377,7409113,skoog correction of alar slump,,Orofacial Clefts
45229,7409114,dibbell correction of alar slump,,Orofacial Clefts
63658,7409200,correction of cleft lip nasal tip deformity,,Orofacial Clefts
62304,7409211,alar base advancement,,Orofacial Clefts
51498,7409300,columella lengthening procedure unspecified,,Orofacial Clefts
72318,7409400,unilateral columella lengthening operation,,Orofacial Clefts
34175,7409411,tajima unilateral columella lengthening operation,,Orofacial Clefts
8002,7409500,rhinoplasty for cleft lip nasal deformity,,Orofacial Clefts
49874,7409600,septorhinoplasty for cleft lip nasal deformity,,Orofacial Clefts
32465,7409700,septoplasty for cleft lip nasal deformity,,Orofacial Clefts
16221,7448100,excision of cyst of bronchus,,Respiratory
2020,7502.11,repair of cleft lip operations,,Orofacial Clefts
24102,7502000,"primary closure of cleft lip, unspecified",,Orofacial Clefts
69871,7502011,lemesurier cleft lip repair,,Orofacial Clefts
34071,7502012,millard cleft lip correction,,Orofacial Clefts
60496,7502014,tenison cleft lip repair,,Orofacial Clefts
24026,7502100,revision of primary closure of cleft lip,,Orofacial Clefts
21245,7502300,unilateral lip adhesion,,Orofacial Clefts
62102,7502400,bilateral lip adhesion,,Orofacial Clefts
65866,7502500,repair of unilateral cleft lip using straight line technique,,Orofacial Clefts
65664,7502600,repair unilat cleft lip - rotation advancement flp technique,,Orofacial Clefts
56520,7502611,millard repair unilateral cleft lip,,Orofacial Clefts
49751,7502700,repair of unilateral cleft lip with triangular flap,,Orofacial Clefts
110201,7502712,skoog repair unilateral cleft lip,,Orofacial Clefts
96645,7502713,tennyson repair unilateral cleft lip,,Orofacial Clefts
69454,7502800,repair unilateral cleft lip with quadrilateral flap,,Orofacial Clefts
100946,7502811,repair unilateral cleft lip with quadrilateral flap,,Orofacial Clefts
23739,7502900,repair of unilateral cleft lip unspecified,,Orofacial Clefts
103535,7502a00,repair bilateral cleft lip - rotation advancement flap tech,,Orofacial Clefts
23714,7502a11,rep bilat cleft lip millard,,Orofacial Clefts
98506,7502b00,repair of bilateral cleft lip with quadrilateral flap,,Orofacial Clefts
42525,7502c11,manchester bilateral cleft lip repair,,Orofacial Clefts
54973,7502c12,veau type iii bilateral cleft lip repair,,Orofacial Clefts
14974,7502d00,repair of bilateral cleft lip unspecified,,Orofacial Clefts
58977,7502f00,asynchronous bilateral cleft lip repair,,Orofacial Clefts
3679,7523100,incision of frenulum of tongue,Yes,Digestive
37760,7523111,frenotomy of tongue,Yes,Digestive
5032,7523112,release of tongue tie,Yes,Digestive
38085,7523200,freeing of adhesions of tongue,,Digestive
16090,7523400,excision of frenulum of tongue,Yes,Digestive
60456,7523500,glossopexy,,Digestive
36752,7525.11,repair of deformity of palate,,Other
6341,7525.12,repair of cleft palate,,Orofacial Clefts
1679,7525000,"primary repair of cleft palate, unspecified",,Orofacial Clefts
90923,7525011,kilner repair of cleft palate,,Orofacial Clefts
23683,7525012,langenbeck repair of cleft palate,,Orofacial Clefts
65948,7525013,wardill repair of cleft palate,,Orofacial Clefts
20542,7525100,revision of repair of cleft palate,,Orofacial Clefts
65887,7525200,repair cleft hard palate post based axial transposition flap,,Orofacial Clefts
99908,7525212,wardill repair cleft palate,,Orofacial Clefts
54974,7525213,veau flap repair cleft palate,,Orofacial Clefts
31584,7525300,repair of cleft hard palate with bipedicled flaps,,Orofacial Clefts
71457,7525311,langenbeck repair cleft palate,,Orofacial Clefts
37079,7525400,repair of cleft soft palate with z-plasty,,Orofacial Clefts
51058,7525411,furlow repair cleft palate,,Orofacial Clefts
34024,7525500,repair of anterior cleft palate with local flap,,Orofacial Clefts
47845,7525600,repair of anterior cleft palate with vomerine flap,,Orofacial Clefts
30249,7525700,repair of cleft soft palate with intra-velar veloplasty,,Orofacial Clefts
37071,7525711,rep anterior cleft palate local flap,,Orofacial Clefts
48749,7525712,plastic repair palate mucosal graft,,Other
51196,7525800,repair cleft soft palate with other musculature correction,,Orofacial Clefts
48646,7525y00,other specified correction of deformity of palate,,Other
41002,7525z00,correction of deformity of palate nos,,Other
33654,7606000,closure of tracheooesophageal fistula,,Digestive
92822,7606011,excision of tracheooesophageal fistula,,Digestive
58583,7606100,closure of fistula of oesophagus nec,,Digestive
43818,7606200,correction of congenital atresia of oesophagus,,Digestive
59013,7607000,exteriorisation of pouch of oesophagus,,Digestive
34229,7608200,division of web of oesophagus,,Digestive
89035,760d400,fibreoptic endoscopic dilation of web of oesophagus,,Digestive
93429,760g400,dilation of web of oesophagus using rigid oesophagoscope,,Digestive
8270,760k.00,repair of diaphragmatic hernia,,Digestive
18664,760k.11,repair of oesophageal hiatus hernia,Yes,Digestive
1178,760k.12,repair of hiatus hernia,Yes,Digestive
20114,760k000,repair of oesophageal hiatus using thoracic approach,Yes,Digestive
47416,760k011,allison repair of oesophageal hiatus hernia,Yes,Digestive
94728,760k012,mason repair of oesophageal hiatus hernia,Yes,Digestive
63539,760k100,repair of diaphragmatic hernia using thoracic approach nec,,Digestive
56512,760k200,repair of oesophageal hiatus using abdominal approach,Yes,Digestive
30980,760k300,repair of diaphragmatic hernia using abdominal approach nec,,Digestive
72571,760k400,boerema repair of hiatus hernia,Yes,Digestive
22845,760k500,laparoscopic repair of hiatus hernia,Yes,Digestive
60094,760ky00,other specified repair of diaphragmatic hernia,,Digestive
37471,760kz00,repair of diaphragmatic hernia nos,,Digestive
61616,760l312,hill repair of hiatus hernia and gastropexy,Yes,Digestive
39917,761b100,repair of congenital atresia of pylorus,,Digestive
3506,7641000,excision of meckel diverticulum,Yes,Digestive
21059,7726y11,duhamel hirschsprung abdoperin,,Digestive
68527,7726y12,soave endorectal pull through op for hirschsprung's disease,,Digestive
48226,7726y13,swenson hirschsprung proctect,,Digestive
33725,7733300,reanastomosis rectum-anal canal correct cong rectal atresia,,Digestive
93912,7838000,division of annular pancreas,,Digestive
12844,7902.11,repair of tetralogy of fallot,,Heart
16538,7902000,correct fallot tetralogy- valved right ventr outflow conduit,,Heart
73029,7902100,correct fallot tetralogy- right ventric outflow conduit nec,,Heart
99198,7902200,correct fallot tetralogy- right ventricular outflow patch,,Heart
70857,7902300,revision of correction of tetralogy of fallot,,Heart
88842,7902400,repair of tetralogy of fallot using transannular patch,,Heart
88479,7902500,repair of tetralogy of fallot with absent pulmonary valve,,Heart
93719,7902600,repair fallot-type pulmonary atresia aortopulmonary collater,,Heart
65401,7902y00,other specified correction of tetralogy of fallot,,Heart
19956,7902z00,correction of tetralogy of fallot nos,,Heart
108402,7902z11,repair of tetralogy of fallot nos,,Heart
31085,7903.11,mustard interatrial tr venous return,,Heart
37987,7903.12,senning correction for transposition of great vessels,,Heart
89968,7903.13,atrial inversion operations for transposition of great art,,Heart
62470,7903000,atrium reconstruction atrial patch for transpos great vessel,,Heart
69021,7903100,atrium reconstruction atrial wall for transpos great vessels,,Heart
69200,7903y00,atrial inversion op for transposition of great vessels os,,Heart
58886,7903z00,atrial inversion op for transposition of great vessels nos,,Heart
33909,7904000,repositioning of transposed great vessels,,Heart
98383,7904200,left ventricle aorta tunnel right ventricle pul art val con,,Heart
91533,7904300,atrial switch and arterial switch,,Heart
64470,7904y00,other correction of transposition of great vessels os,,Heart
38411,7904z00,other correction of transposition of great vessels nos,,Heart
94475,7905000,correct total anomal pulm venous connect to supracard vessel,,Heart
56741,7905100,correct total anomal pulm venous connect to coronary sinus,,Heart
105154,7905y00,correction of total anomalous pulmonary venous connection os,,Heart
73820,7905z00,correction total anomalous pulmonary venous connection nos,,Heart
73476,7906.11,repair of defect of the atrioventricular septum,,Heart
57102,7906000,close defect atrioventric septum using dual prosthetic patch,,Heart
105465,7906011,rep defect atrioventricular septum dual prosthetic patches,,Heart
39884,7906100,close defect atrioventric septum using prosthetic patch nec,,Heart
95755,7906111,repair defect atrioventricular septum prosthetic patch nec,,Heart
73817,7906200,closure defect atrioventricular septum using tissue graft,,Heart
104708,7906211,repair defect of atrioventricular septum using tissue graft,,Heart
42181,7906300,closure of persistent ostium primum,,Heart
99346,7906311,repair of persistent ostium primum,,Heart
48331,7906400,primary closure of defect of atrioventricular septum nec,,Heart
39885,7906500,revision of closure of defect of atrioventricular septum,,Heart
57270,7906y00,other specified closure of defect of atrioventricular septum,,Heart
38436,7906z00,closure of defect of atrioventricular septum nos,,Heart
88772,7907.11,repair of defect of interatrial septum,,Heart
31101,7907000,closure defect of interatrial septum using prosthetic patch,,Heart
94191,7907011,repair defect of interatrial septum using prosthetic patch,,Heart
43926,7907100,closure defect of interatrial septum using pericardial patch,,Heart
108307,7907111,repair defect of interatrial septum using pericardial patch,,Heart
52287,7907200,closure defect of interatrial septum using tissue graft nec,,Heart
28367,7907300,primary closure of defect of interatrial septum nec,,Heart
102977,7907311,primary repair of defect of interatrial septum nec,,Heart
70424,7907400,revision of closure of defect of interatrial septum,,Heart
67299,7907y00,other specified closure of defect of interatrial septum,,Heart
16191,7907z00,closure of defect of interatrial septum nos,,Heart
